date,market,segment,orders,sessions,order_attempts,cancellations,gross_bookings,net_revenue,driver_hours,active_delivery_hours,fulfillment_rate
2023-02-15,new_york,all,2748,33515,2921,225,91183.72,16288.54,1363.6,995.8,0.9408
2023-02-16,new_york,all,2878,35551,3004,209,108394.7,20635.57,1469.1,1087.9,0.9581
2023-02-17,new_york,all,3125,36953,3229,243,122534.42,21029.56,1508.2,1207.5,0.9678
2023-02-18,new_york,all,3397,42962,3508,249,127559.21,25342.93,1585.8,1158.6,0.9684
2023-02-19,new_york,all,3162,37356,3349,252,133517.37,26626.4,1636.9,1279.1,0.9442
2023-02-20,new_york,all,2366,31310,2440,233,91151.92,17516.87,1085.5,862.6,0.9697
2023-02-21,new_york,all,2646,33617,2838,306,108446.92,19949.5,1274.4,1013.3,0.9323
2023-02-22,new_york,all,2602,31629,2700,252,101486.42,17922.48,1204.8,890.4,0.9637
2023-02-23,new_york,all,2867,34828,3040,290,114940.42,22341.6,1350.1,980.4,0.9431
2023-02-24,new_york,all,2985,36381,3141,239,116527.06,22383.76,1530.4,1170.6,0.9503
2023-02-25,new_york,all,3402,41080,3579,374,139940.97,24721.78,1773.4,1312.8,0.9505
2023-02-26,new_york,all,3303,38274,3414,333,127521.18,23404.79,1611.8,1273.2,0.9675
2023-02-27,new_york,all,2659,32938,2845,301,104910.93,19291.44,1220.6,922.4,0.9346
2023-02-28,new_york,all,2654,31151,2852,312,104050.58,20268.25,1309.5,1001.7,0.9306
2023-03-01,new_york,all,2688,32975,2770,235,101996.3,19431.86,1310.5,958.4,0.9704
2023-03-02,new_york,all,2622,31897,2724,195,102991.09,19495.7,1362.4,1058.3,0.9626
2023-03-03,new_york,all,3222,37158,3464,262,137905.45,26132.37,1641.2,1212.1,0.9301
2023-03-04,new_york,all,3472,41224,3672,319,131864.77,23486.98,1730.5,1363.5,0.9455
2023-03-05,new_york,all,3165,38445,3284,371,124408.14,22536.7,1554.7,1130.4,0.9638
2023-03-06,new_york,all,2678,32918,2785,238,109587.04,18779.92,1464.0,1197.0,0.9616
2023-03-07,new_york,all,2776,34074,2951,301,112969.29,21871.78,1442.6,1137.4,0.9407
2023-03-08,new_york,all,2573,32446,2743,250,99118.53,18137.69,1259.7,929.9,0.938
2023-03-09,new_york,all,2835,34953,3005,224,96140.45,17607.85,1413.7,1019.9,0.9434
2023-03-10,new_york,all,3322,40149,3580,286,131201.24,23269.94,1511.0,1138.5,0.9279
2023-03-11,new_york,all,3482,40699,3672,357,119180.2,21009.42,1903.0,1399.2,0.9483
2023-03-12,new_york,all,3056,36361,3194,317,126303.35,23698.89,1481.2,1098.8,0.9568
2023-03-13,new_york,all,2419,29840,2549,222,93920.67,16621.76,1121.5,905.4,0.949
2023-03-14,new_york,all,2458,30207,2576,200,99363.11,17083.13,1331.3,1038.8,0.9542
2023-03-15,new_york,all,2789,34051,2904,296,102533.22,19791.5,1485.1,1095.5,0.9604
2023-03-16,new_york,all,2893,35055,2986,227,102734.55,18625.17,1299.8,1008.2,0.9689
2023-03-17,new_york,all,3193,38782,3345,373,124533.23,22591.21,1465.8,1092.9,0.9546
2023-03-18,new_york,all,3326,40443,3544,264,127835.85,23386.23,1494.9,1222.3,0.9385
2023-03-19,new_york,all,3266,38041,3367,246,122650.66,23849.59,1666.7,1205.5,0.97
2023-03-20,new_york,all,2678,33123,2817,254,103539.44,18598.28,1214.8,963.6,0.9507
2023-03-21,new_york,all,2455,30988,2608,236,107596.06,20738.18,1342.3,1070.2,0.9413
2023-03-22,new_york,all,2717,33036,2881,259,108969.26,21596.22,1479.3,1075.0,0.9431
2023-03-23,new_york,all,2776,33734,2967,255,112484.31,21352.45,1394.1,1027.7,0.9356
2023-03-24,new_york,all,3040,37339,3254,364,121978.72,22316.06,1539.7,1167.8,0.9342
2023-03-25,new_york,all,3520,41711,3751,332,145544.84,28007.73,1690.8,1364.2,0.9384
2023-03-26,new_york,all,3135,36780,3245,294,119550.44,21965.83,1412.6,1092.9,0.9661
2023-03-27,new_york,all,2582,31440,2721,235,89194.12,16271.93,1358.7,1067.3,0.9489
2023-03-28,new_york,all,2580,31249,2735,189,98393.39,18277.41,1226.7,979.3,0.9433
2023-03-29,new_york,all,2675,33758,2788,267,107167.43,19239.95,1246.9,1001.0,0.9595
2023-03-30,new_york,all,2967,36156,3062,242,108690.51,18817.32,1438.3,1104.1,0.969
2023-03-31,new_york,all,3259,39038,3393,332,124365.05,22689.85,1469.3,1132.7,0.9605
2023-04-01,new_york,all,3645,43820,3837,264,135478.61,23534.76,1769.4,1401.0,0.95
2023-04-02,new_york,all,3350,39203,3520,399,138661.21,25279.78,1724.7,1287.2,0.9517
2023-04-03,new_york,all,2548,30350,2647,238,101774.01,19002.02,1370.0,1103.5,0.9626
2023-04-04,new_york,all,2708,32069,2901,311,107654.42,21307.11,1370.4,989.5,0.9335
2023-04-05,new_york,all,2593,30984,2791,243,102933.24,17610.51,1376.0,1017.7,0.9291
2023-04-06,new_york,all,2678,32914,2785,196,102910.97,19413.51,1311.5,1049.2,0.9616
2023-04-07,new_york,all,3117,36844,3355,346,121189.88,22266.47,1651.3,1245.1,0.9291
2023-04-08,new_york,all,3466,40633,3573,355,125533.39,21416.98,1716.8,1261.8,0.9701
2023-04-09,new_york,all,3377,40107,3634,368,115801.04,20553.11,1594.2,1177.6,0.9293
2023-04-10,new_york,all,2558,31294,2756,234,99222.02,17220.43,1379.2,1066.2,0.9282
2023-04-11,new_york,all,2655,32035,2736,271,103873.37,18334.05,1256.6,1011.1,0.9704
2023-04-12,new_york,all,2917,35823,3116,329,119094.79,21227.11,1308.6,951.4,0.9361
2023-04-13,new_york,all,2816,35050,3037,286,116933.9,21286.55,1343.4,971.3,0.9272
2023-04-14,new_york,all,3346,40171,3598,292,138933.44,25823.72,1624.9,1245.5,0.93
2023-04-15,new_york,all,3445,40501,3716,355,126013.98,21426.12,1668.6,1360.9,0.9271
2023-04-16,new_york,all,3245,38631,3432,336,122732.03,21460.44,1639.5,1226.2,0.9455
2023-04-17,new_york,all,2522,30729,2608,298,99428.95,17182.02,1355.5,1106.0,0.967
2023-04-18,new_york,all,2594,31400,2782,230,112511.94,20982.37,1239.0,1002.1,0.9324
2023-04-19,new_york,all,2770,34236,2938,253,114537.26,20602.07,1397.8,1046.0,0.9428
2023-04-20,new_york,all,2801,33842,2971,310,113874.21,21232.07,1365.7,1094.9,0.9428
2023-04-21,new_york,all,3325,39290,3494,317,125530.41,22175.54,1767.3,1393.7,0.9516
2023-04-22,new_york,all,3454,42165,3656,369,127106.65,21700.52,1609.9,1241.5,0.9447
2023-04-23,new_york,all,3263,37760,3386,303,130580.85,25886.48,1490.4,1136.1,0.9637
2023-04-24,new_york,all,2386,29562,2546,193,86805.61,15039.01,1180.8,946.5,0.9372
2023-04-25,new_york,all,2511,31850,2596,269,95520.98,16602.1,1310.2,1047.3,0.9673
2023-04-26,new_york,all,2678,33545,2856,205,102511.3,17877.6,1424.8,1133.7,0.9377
2023-04-27,new_york,all,2858,35780,3065,228,118796.64,23692.6,1461.4,1198.1,0.9325
2023-04-28,new_york,all,3196,38009,3367,324,120863.8,22786.43,1689.7,1297.4,0.9492
2023-04-29,new_york,all,3819,45709,4031,410,129099.17,24310.5,1869.2,1496.7,0.9474
2023-04-30,new_york,all,3140,37639,3283,360,123939.12,24738.37,1433.8,1156.0,0.9564
2023-05-01,new_york,all,2504,30331,2700,209,93034.57,16062.71,1169.9,867.1,0.9274
2023-05-02,new_york,all,2743,33415,2926,207,105830.6,21085.16,1258.6,911.5,0.9375
2023-05-03,new_york,all,2795,34069,2930,329,107141.0,18869.72,1348.2,1025.3,0.9539
2023-05-04,new_york,all,3179,38680,3302,247,120716.55,22778.26,1608.9,1296.2,0.9627
2023-05-05,new_york,all,3410,40096,3550,272,136472.99,24920.31,1659.4,1242.7,0.9606
2023-05-06,new_york,all,3489,43370,3675,295,124031.28,22513.98,1775.1,1402.3,0.9494
2023-05-07,new_york,all,3520,42214,3791,340,132016.71,26131.03,1757.4,1266.6,0.9285
2023-05-08,new_york,all,2444,31350,2607,279,97312.19,16978.72,1269.2,958.9,0.9375
2023-05-09,new_york,all,2647,32447,2755,286,98780.45,19747.4,1356.7,1060.3,0.9608
2023-05-10,new_york,all,2710,33245,2908,286,95942.26,17401.41,1316.2,964.7,0.9319
2023-05-11,new_york,all,2979,35787,3125,235,118525.38,22456.2,1486.4,1203.5,0.9533
2023-05-12,new_york,all,3208,37299,3441,282,130443.56,25963.12,1625.7,1195.9,0.9323
2023-05-13,new_york,all,3627,43002,3780,341,139325.34,23926.07,1849.5,1499.9,0.9595
2023-05-14,new_york,all,3290,39562,3490,255,114246.47,22584.92,1577.3,1169.8,0.9427
2023-05-15,new_york,all,2487,30217,2677,208,99129.31,18540.59,1194.0,978.4,0.929
2023-05-16,new_york,all,2558,31713,2668,218,90309.46,17261.02,1351.8,1055.0,0.9588
2023-05-17,new_york,all,2806,34417,2987,214,109698.99,19139.79,1434.3,1044.8,0.9394
2023-05-18,new_york,all,3167,38089,3418,309,116519.1,21672.74,1460.8,1061.3,0.9266
2023-05-19,new_york,all,3574,43033,3708,376,129619.36,24654.3,1742.1,1267.4,0.9639
2023-05-20,new_york,all,4050,47450,4189,298,152479.76,28008.61,2172.7,1692.5,0.9668
2023-05-21,new_york,all,3464,40688,3685,326,132141.74,23078.5,1545.8,1238.1,0.94
2023-05-22,new_york,all,2519,31494,2637,275,93857.69,16643.18,1358.4,1032.8,0.9553
2023-05-23,new_york,all,2489,29941,2573,267,98647.17,19298.52,1202.7,919.4,0.9674
2023-05-24,new_york,all,2758,33359,2906,305,103814.75,17755.87,1375.5,1071.4,0.9491
2023-05-25,new_york,all,2762,33811,2949,255,111548.53,21335.43,1335.1,1032.4,0.9366
2023-05-26,new_york,all,3211,38817,3353,357,125361.48,25070.0,1461.7,1153.0,0.9576
2023-05-27,new_york,all,3473,42074,3635,285,129046.96,21966.95,1869.9,1434.5,0.9554
2023-05-28,new_york,all,3365,40499,3608,296,123943.27,21669.17,1686.8,1334.9,0.9326
2023-05-29,new_york,all,2778,33702,2934,219,98142.77,18669.14,1511.0,1238.6,0.9468
2023-05-30,new_york,all,2742,34288,2940,256,107101.59,18400.02,1303.0,983.8,0.9327
2023-05-31,new_york,all,2752,33463,2896,247,104073.54,19533.95,1474.1,1063.2,0.9503
2023-06-01,new_york,all,2794,35147,3011,229,94810.26,18063.25,1526.4,1118.2,0.9279
2023-06-02,new_york,all,2963,35416,3148,319,111019.9,20832.26,1494.9,1159.1,0.9412
2023-06-03,new_york,all,3584,42569,3712,307,131767.59,23844.08,1678.0,1265.9,0.9655
2023-06-04,new_york,all,3552,40311,3816,297,147525.85,28165.41,1838.8,1496.8,0.9308
2023-06-05,new_york,all,2827,35659,2981,216,99573.02,18702.68,1408.3,1102.3,0.9483
2023-06-06,new_york,all,2856,34030,2962,263,102031.74,17980.96,1560.9,1205.1,0.9642
2023-06-07,new_york,all,2805,34299,2911,239,113985.92,21303.29,1358.7,1086.7,0.9636
2023-06-08,new_york,all,2888,35133,3074,255,118730.79,23325.52,1370.5,1022.2,0.9395
2023-06-09,new_york,all,3046,36173,3145,249,112902.76,21452.09,1424.2,1142.2,0.9685
2023-06-10,new_york,all,3452,40730,3605,373,128701.73,23700.91,1799.1,1295.9,0.9576
2023-06-11,new_york,all,3269,39034,3390,381,129734.36,23306.46,1798.3,1406.2,0.9643
2023-06-12,new_york,all,3002,35785,3158,285,102129.04,17625.08,1358.4,1105.0,0.9506
2023-06-13,new_york,all,2644,32732,2778,270,92321.08,16372.11,1403.1,1120.8,0.9518
2023-06-14,new_york,all,2997,35946,3165,340,113764.89,19378.21,1640.3,1321.0,0.9469
2023-06-15,new_york,all,2850,35413,2975,342,118228.09,23598.18,1310.5,995.6,0.958
2023-06-16,new_york,all,3467,41322,3577,349,130571.45,23068.64,1612.3,1293.7,0.9692
2023-06-17,new_york,all,3532,42970,3746,404,136668.28,26574.64,1845.1,1430.1,0.9429
2023-06-18,new_york,all,3306,39004,3467,382,134496.49,23544.87,1695.3,1325.5,0.9536
2023-06-19,new_york,all,2754,32831,2926,302,117198.54,20920.88,1238.1,898.7,0.9412
2023-06-20,new_york,all,2703,33208,2799,252,101064.0,18449.06,1448.2,1071.9,0.9657
2023-06-21,new_york,all,2737,33698,2821,203,105285.79,18923.24,1383.1,1072.0,0.9702
2023-06-22,new_york,all,2844,35684,2965,201,119469.21,23171.12,1554.2,1128.2,0.9592
2023-06-23,new_york,all,3153,37707,3320,296,112151.47,22287.95,1681.6,1335.4,0.9497
2023-06-24,new_york,all,3270,40211,3433,310,132363.37,25977.48,1723.6,1385.8,0.9525
2023-06-25,new_york,all,3301,40027,3534,298,120617.69,21060.73,1662.6,1350.1,0.9341
2023-06-26,new_york,all,2918,35624,3061,287,112918.6,21827.24,1385.5,1011.7,0.9533
2023-06-27,new_york,all,2848,34031,3009,278,108317.87,18894.8,1397.4,1137.4,0.9465
2023-06-28,new_york,all,2886,33512,3058,323,105788.72,20882.84,1333.4,969.1,0.9438
2023-06-29,new_york,all,3030,37603,3124,229,110920.81,20579.84,1535.3,1178.2,0.9699
2023-06-30,new_york,all,3544,41012,3742,288,138329.75,24912.0,1628.1,1309.0,0.9471
2023-07-01,new_york,all,3802,45040,3982,417,153663.2,26846.62,1925.5,1399.9,0.9548
2023-07-02,new_york,all,3263,38958,3430,367,124810.59,21262.02,1513.5,1092.5,0.9513
2023-07-03,new_york,all,2833,34453,2932,339,109452.86,19421.14,1341.5,969.2,0.9662
2023-07-04,new_york,all,2769,33921,2960,315,109651.04,21647.37,1305.4,1006.6,0.9355
2023-07-05,new_york,all,2935,35914,3161,336,107507.98,20847.72,1503.4,1204.5,0.9285
2023-07-06,new_york,all,3042,37622,3137,261,121448.53,24179.65,1635.0,1198.0,0.9697
2023-07-07,new_york,all,3005,36802,3186,271,120432.09,20837.5,1362.1,997.7,0.9432
2023-07-08,new_york,all,3289,40403,3513,274,143110.9,26871.27,1752.6,1361.5,0.9362
2023-07-09,new_york,all,3612,42444,3772,362,136446.91,24248.6,1959.5,1456.8,0.9576
2023-07-10,new_york,all,2889,35628,3089,338,108678.96,20245.61,1393.3,1104.9,0.9353
2023-07-11,new_york,all,2740,34018,2909,239,109545.91,19675.94,1424.4,1160.8,0.9419
2023-07-12,new_york,all,2844,34874,3061,278,113978.35,20345.59,1372.1,1093.0,0.9291
2023-07-13,new_york,all,3169,38262,3420,269,118742.29,22230.38,1472.3,1189.2,0.9266
2023-07-14,new_york,all,3168,37579,3270,249,119509.35,20973.84,1568.2,1210.6,0.9688
2023-07-15,new_york,all,3436,41451,3616,274,135865.2,25009.25,1560.0,1253.0,0.9502
2023-07-16,new_york,all,3573,41523,3778,260,131868.35,24992.27,1934.3,1428.1,0.9457
2023-07-17,new_york,all,2812,33433,2917,330,106039.74,18434.53,1524.6,1108.1,0.964
2023-07-18,new_york,all,2810,34130,2942,253,108669.63,21507.66,1490.6,1171.0,0.9551
2023-07-19,new_york,all,2863,34446,3090,320,115714.39,21427.04,1438.2,1043.0,0.9265
2023-07-20,new_york,all,3087,36945,3182,321,115256.69,22427.32,1558.0,1260.8,0.9701
2023-07-21,new_york,all,3686,42915,3880,293,128838.27,24429.95,2026.1,1598.9,0.95
2023-07-22,new_york,all,3759,44212,4030,296,130852.86,25032.16,1799.5,1467.0,0.9328
2023-07-23,new_york,all,3446,40535,3605,381,124316.62,23804.63,1537.5,1155.3,0.9559
2023-07-24,new_york,all,2481,30112,2615,207,89246.91,17514.97,1243.4,955.7,0.9488
2023-07-25,new_york,all,2621,32874,2828,303,100128.42,18865.01,1268.0,1007.0,0.9268
2023-07-26,new_york,all,2712,32802,2858,209,98205.33,17514.58,1306.3,972.3,0.9489
2023-07-27,new_york,all,2695,33978,2793,280,100111.7,17317.85,1220.7,945.0,0.9649
2023-07-28,new_york,all,3161,38238,3264,350,116988.25,22015.73,1614.9,1269.2,0.9684
2023-07-29,new_york,all,3787,43935,4080,310,142588.21,24523.83,1799.6,1471.9,0.9282
2023-07-30,new_york,all,3553,41596,3707,298,145835.8,25847.76,1657.7,1317.0,0.9585
2023-07-31,new_york,all,2623,31245,2768,310,104327.86,17925.74,1187.3,868.9,0.9476
2023-08-01,new_york,all,2828,34880,2926,235,108965.81,20318.49,1392.9,1069.1,0.9665
2023-08-02,new_york,all,2748,34496,2889,251,103359.22,18068.24,1467.2,1142.8,0.9512
2023-08-03,new_york,all,2960,36484,3186,271,111491.44,20995.2,1430.7,1051.1,0.9291
2023-08-04,new_york,all,3443,40906,3633,285,134727.73,26100.26,1785.9,1363.0,0.9477
2023-08-05,new_york,all,3897,46317,4203,424,154416.78,30058.22,2071.9,1550.6,0.9272
2023-08-06,new_york,all,3617,42103,3772,393,132935.01,23833.43,1741.8,1274.8,0.9589
2023-08-07,new_york,all,2646,32687,2792,235,102056.82,19030.4,1422.5,1097.0,0.9477
2023-08-08,new_york,all,2780,33855,2983,311,96157.79,17970.96,1461.8,1076.7,0.9319
2023-08-09,new_york,all,2757,34492,2902,222,107268.11,19757.35,1393.9,1085.9,0.95
2023-08-10,new_york,all,3116,37874,3253,219,124537.6,23618.98,1399.3,1031.2,0.9579
2023-08-11,new_york,all,3398,40446,3645,335,128991.03,22741.46,1536.1,1217.1,0.9322
2023-08-12,new_york,all,3547,42865,3723,425,148962.7,29699.78,1943.8,1437.5,0.9527
2023-08-13,new_york,all,3375,40370,3566,243,124212.2,21481.56,1795.6,1453.8,0.9464
2023-08-14,new_york,all,2689,33106,2901,216,104652.04,20394.24,1465.6,1059.1,0.9269
2023-08-15,new_york,all,3009,37109,3127,289,115638.99,21719.65,1629.1,1258.0,0.9623
2023-08-16,new_york,all,3096,36671,3236,342,118598.25,21032.88,1382.7,1039.8,0.9567
2023-08-17,new_york,all,2979,36606,3073,222,114035.91,21937.12,1561.9,1159.7,0.9694
2023-08-18,new_york,all,3266,39071,3428,293,126414.37,21810.83,1649.2,1265.2,0.9527
2023-08-19,new_york,all,3385,42061,3520,363,135847.91,26250.24,1787.8,1437.8,0.9616
2023-08-20,new_york,all,3345,40551,3559,296,137653.92,25837.58,1495.9,1214.0,0.9399
2023-08-21,new_york,all,2790,34406,2899,222,107402.91,18615.34,1357.4,1018.5,0.9624
2023-08-22,new_york,all,2869,35679,3052,229,114959.35,19817.29,1510.8,1111.1,0.94
2023-08-23,new_york,all,2836,33852,2958,257,105354.84,20283.45,1509.8,1195.8,0.9588
2023-08-24,new_york,all,3028,37263,3173,285,121042.68,21640.99,1548.2,1204.8,0.9543
2023-08-25,new_york,all,3195,37084,3347,361,118320.97,23271.26,1529.2,1131.8,0.9546
2023-08-26,new_york,all,3799,45172,4049,388,154237.58,29746.6,1824.9,1452.7,0.9383
2023-08-27,new_york,all,3373,40129,3553,353,144214.25,27537.09,1823.2,1407.3,0.9493
2023-08-28,new_york,all,2714,33350,2844,323,103851.18,18522.71,1339.2,1051.7,0.9543
2023-08-29,new_york,all,2644,32424,2836,240,90634.61,17335.53,1312.5,992.2,0.9323
2023-08-30,new_york,all,2952,35005,3125,266,110537.52,21935.56,1519.2,1160.5,0.9446
2023-08-31,new_york,all,2628,33808,2735,305,107409.93,18554.72,1291.5,953.2,0.9609
2023-09-01,new_york,all,3083,38236,3314,254,121977.89,21929.78,1522.7,1211.5,0.9303
2023-09-02,new_york,all,4144,49875,4339,441,161529.63,28597.23,2042.6,1502.7,0.9551
2023-09-03,new_york,all,3272,38942,3377,352,132325.2,24056.39,1784.0,1423.3,0.9689
2023-09-04,new_york,all,2643,31976,2788,198,104220.29,20038.43,1442.6,1153.8,0.948
2023-09-05,new_york,all,2949,35833,3056,275,120449.31,22190.05,1589.8,1263.4,0.965
2023-09-06,new_york,all,3257,40254,3394,261,131159.03,24542.73,1658.3,1197.2,0.9596
2023-09-07,new_york,all,2891,34751,3086,229,119772.03,21490.05,1417.6,1059.4,0.9368
2023-09-08,new_york,all,3315,38663,3436,309,129917.11,22636.59,1705.2,1307.6,0.9648
2023-09-09,new_york,all,3775,44771,4041,319,151915.91,27042.25,2010.0,1566.9,0.9342
2023-09-10,new_york,all,3667,42826,3949,403,139011.5,27217.12,1858.0,1508.6,0.9286
2023-09-11,new_york,all,2643,32247,2802,305,98695.4,18561.89,1346.3,1019.9,0.9433
2023-09-12,new_york,all,2750,34118,2930,303,114910.2,20837.78,1426.4,1151.8,0.9386
2023-09-13,new_york,all,2965,35870,3160,247,115386.52,22350.04,1535.0,1130.3,0.9383
2023-09-14,new_york,all,3029,37068,3270,254,121309.62,20857.21,1582.9,1198.5,0.9263
2023-09-15,new_york,all,3269,38916,3423,270,126635.17,22492.53,1545.2,1120.6,0.955
2023-09-16,new_york,all,3841,44414,3988,295,143541.85,25393.0,1901.7,1510.4,0.9631
2023-09-17,new_york,all,3031,37937,3201,355,116757.58,23300.25,1553.0,1141.6,0.9469
2023-09-18,new_york,all,2679,33823,2831,241,110547.03,21134.71,1188.5,886.3,0.9463
2023-09-19,new_york,all,2670,33542,2774,217,105648.8,19918.35,1454.7,1160.2,0.9625
2023-09-20,new_york,all,2847,35177,3020,320,100229.81,17054.06,1429.1,1105.4,0.9427
2023-09-21,new_york,all,2958,36471,3049,266,112657.37,19774.67,1352.9,976.0,0.9702
2023-09-22,new_york,all,3349,41113,3605,240,140426.64,26549.94,1786.7,1286.8,0.929
2023-09-23,new_york,all,3747,45501,3909,293,142717.39,25887.73,1979.8,1526.6,0.9586
2023-09-24,new_york,all,3354,40625,3461,342,117504.3,23233.94,1768.4,1327.2,0.9691
2023-09-25,new_york,all,2998,35055,3104,327,126348.07,24377.81,1475.1,1088.7,0.9659
2023-09-26,new_york,all,2841,33632,2960,229,113110.45,20746.89,1521.4,1188.8,0.9598
2023-09-27,new_york,all,2861,35379,2986,332,109762.91,21127.76,1390.5,1032.9,0.9581
2023-09-28,new_york,all,2956,36522,3050,333,111692.52,22256.09,1491.5,1162.2,0.9692
2023-09-29,new_york,all,3345,40759,3492,376,135751.9,24955.19,1487.3,1127.3,0.9579
2023-09-30,new_york,all,3622,44829,3766,295,135668.1,25678.68,1844.3,1362.3,0.9618
2023-10-01,new_york,all,3827,45665,4014,278,155798.68,30779.58,2003.0,1469.8,0.9534
2023-10-02,new_york,all,2940,36789,3085,333,116258.55,20631.27,1472.9,1095.4,0.953
2023-10-03,new_york,all,2825,34712,2958,241,110093.11,21643.95,1416.3,1024.0,0.955
2023-10-04,new_york,all,2683,34002,2807,271,104047.05,17992.48,1405.1,1055.0,0.9558
2023-10-05,new_york,all,2849,35490,2947,308,108726.92,20598.69,1480.6,1199.6,0.9667
2023-10-06,new_york,all,3593,42649,3705,275,145562.7,28164.22,1709.4,1372.9,0.9698
2023-10-07,new_york,all,3916,46283,4073,427,144242.79,27180.85,2158.9,1634.7,0.9615
2023-10-08,new_york,all,3528,41650,3767,413,124812.86,23073.66,1842.0,1432.3,0.9366
2023-10-09,new_york,all,2485,31308,2683,264,98611.75,18590.33,1382.3,1073.7,0.9262
2023-10-10,new_york,all,3067,36991,3301,282,121806.32,21261.28,1666.7,1338.1,0.9291
2023-10-11,new_york,all,2824,35204,2980,321,111334.69,19646.91,1531.1,1138.6,0.9477
